gene,LRL01_S1,LRL02_S2,LRL03_S3,LRL04_S4,LRL05_S5,LRL06_S6,LRL07_S7,LRL08_S8,LRL09_S9,LRL10_S10,LRL11_S11,LRL12_S12
WBGene00196498,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046463,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200898,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050186,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048982,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049159,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201166,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00173764,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047205,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048316,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00219785,0,0,0,0,0,1,1,1,0,0,0,0
WBGene00168666,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169633,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166092,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200594,0,0,0,0,1,0,0,0,0,1,3,0
WBGene00174067,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199653,0,1,1,0,0,0,0,1,0,0,0,0
WBGene00202180,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167692,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168905,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167891,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173944,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044502,31,26,31,108,127,101,22,40,24,25,30,32
WBGene00235389,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169867,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172709,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166216,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170368,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165818,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174406,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201109,0,0,0,0,0,0,0,0,1,0,1,1
WBGene00168708,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166628,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016722,2579,1743,2007,1740,1629,1767,5462,4675,4547,4211,4701,3787
WBGene00167481,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168166,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200633,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168896,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171995,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166117,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047689,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016721,1057,990,830,427,384,433,3009,2540,2248,1369,1546,1309
WBGene00166134,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169956,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00004112,1620,1293,1475,1492,1524,1555,4258,3795,3513,4480,4720,4794
WBGene00169590,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168969,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047757,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169281,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171548,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166569,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167918,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047377,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168062,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170825,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047564,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166773,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169968,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047501,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045910,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168531,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172142,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046654,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174558,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169230,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198980,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172910,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047888,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174946,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165089,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166673,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169041,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166181,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048712,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166924,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173816,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167727,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169156,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047004,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170713,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045986,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170645,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050457,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167938,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049259,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049009,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045588,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166262,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166051,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197959,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170934,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047585,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172439,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170005,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174379,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166003,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169471,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171236,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173018,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046475,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171080,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168959,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171910,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169997,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165966,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019205,936,953,899,869,775,881,2891,2505,2471,2229,2418,2425
WBGene00174691,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172882,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049078,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171605,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046061,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045655,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050830,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165528,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171012,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172190,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174776,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167096,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047509,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167620,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169751,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045761,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165602,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048738,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172695,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047191,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049915,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048109,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168797,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171806,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046559,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048633,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049551,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172591,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167555,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168926,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049633,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167574,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172223,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166323,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048205,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165478,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197469,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169476,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170193,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167138,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174405,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172092,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048900,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173636,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169396,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046189,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172649,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169628,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168971,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169333,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047455,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170731,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171934,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168326,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173004,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049336,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171841,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170407,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050812,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165268,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045678,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170437,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196980,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165900,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172098,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047245,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168563,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172661,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168150,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171649,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171504,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049749,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173419,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173813,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170589,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165482,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172076,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174795,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174133,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172651,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046665,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172332,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048167,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165563,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047951,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171224,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170588,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172557,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045882,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172830,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173515,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172708,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173031,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169669,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048170,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167236,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049837,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168416,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165727,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049488,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049710,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046530,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019514,38,60,31,23,20,22,5,5,4,15,11,9
WBGene00169962,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171231,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048522,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047686,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166001,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174237,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166471,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019515,216,250,199,278,263,330,902,908,822,966,1066,994
WBGene00168065,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166977,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048682,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046850,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169635,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172732,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173213,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046212,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167178,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019516,64,95,70,59,45,57,121,117,119,90,102,90
WBGene00174681,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173626,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169658,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174920,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173661,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168155,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046595,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170671,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174071,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019517,44,54,38,27,24,17,7,1,6,3,5,5
WBGene00172277,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168710,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173638,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173122,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023486,65,71,68,68,76,64,201,240,196,160,145,130
WBGene00171906,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000535,7024,7984,6684,5435,5801,5238,17212,15506,11852,5587,6490,5597
WBGene00168047,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172269,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169522,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00002245,2637,2132,2546,2490,2283,2461,669,568,546,455,508,518
WBGene00201291,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00202422,0,0,0,0,0,0,0,0,1,1,2,0
WBGene00201766,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019750,25,21,12,27,35,28,83,71,52,40,79,58
WBGene00171652,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167680,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170433,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165707,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049070,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168175,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166480,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168866,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169257,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170185,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171009,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048970,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174382,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049086,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170750,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00220029,0,1,1,1,1,0,0,1,0,0,0,0
WBGene00006974,5102,4466,4599,5029,4589,4747,177,132,159,81,112,101
WBGene00019751,83,107,91,49,57,42,15,24,13,47,49,61
WBGene00174350,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048080,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047687,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167815,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171185,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174528,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050796,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047949,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045732,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171550,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169049,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049881,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049584,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049926,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171451,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046608,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050511,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169284,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165705,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167922,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047382,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172922,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167261,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047394,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166934,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048413,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173950,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047685,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049985,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045928,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170579,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049490,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048075,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169838,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169402,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165240,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174135,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165620,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170123,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171243,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169857,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173353,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172206,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166040,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168857,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199126,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174020,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173751,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195493,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200103,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023326,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196539,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167146,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174634,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019176,98,93,85,111,101,110,413,347,374,394,406,343
WBGene00166267,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165505,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171853,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165534,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166258,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165516,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168458,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015701,12,19,12,19,8,20,4,1,3,5,12,6
WBGene00172103,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170017,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171744,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173506,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015703,1272,1259,1210,1187,1147,1184,419,409,319,458,542,444
WBGene00015702,1799,1910,1664,1567,1470,1595,491,456,369,361,424,392
WBGene00006809,134,210,160,81,93,100,102,94,93,154,177,152
WBGene00049995,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172244,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170594,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165760,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166678,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050558,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165716,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045877,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166951,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171396,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046651,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049242,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171539,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174308,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046897,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047278,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047448,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165476,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00175016,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174928,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166930,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168735,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046736,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165181,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174614,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166025,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171586,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048846,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00168875,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165191,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048873,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174844,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050718,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173937,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048407,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169861,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047616,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201142,0,2,0,0,0,0,0,0,0,0,0,0
WBGene00048808,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174431,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169305,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166869,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167259,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047173,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047188,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049902,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173251,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046030,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173128,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00174749,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195288,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202184,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00255586,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046077,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166136,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045688,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172753,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172795,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046405,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173131,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049265,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172263,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050588,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196792,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167962,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166737,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00170679,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046250,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172163,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049895,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171219,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00171383,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046257,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172334,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165738,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015700,4,15,7,5,5,2,89,60,75,16,21,12
WBGene00046262,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169556,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047936,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00046170,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00167651,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045544,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173952,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166623,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166317,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00169468,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00047079,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00173904,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00049127,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00165892,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00172985,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00048299,0,0,0,0,0,0,0,0,0,0,0,0
