gene,LRL01_S1,LRL02_S2,LRL03_S3,LRL04_S4,LRL05_S5,LRL06_S6,LRL07_S7,LRL08_S8,LRL09_S9,LRL10_S10,LRL11_S11,LRL12_S12
WBGene00019820,1597,2081,1558,1876,1637,1638,512,505,482,498,594,569
WBGene00019819,1326,1172,1003,1413,1501,1383,2673,2339,2150,2583,2806,2680
WBGene00001728,2,0,0,0,1,0,0,0,1,1,1,0
WBGene00019824,2494,3107,2583,2761,2490,2789,313,299,303,302,295,252
WBGene00019825,1126,1232,1057,1325,1246,1206,448,524,461,617,615,613
WBGene00001071,277,364,248,85,122,90,100,109,74,208,218,215
WBGene00020647,1671,1477,1481,1645,1445,1489,416,301,304,345,374,294
WBGene00003932,827,865,732,683,651,725,1221,1093,994,1148,1234,1066
WBGene00020651,187,207,173,332,327,318,848,656,583,863,919,803
WBGene00020650,8,7,17,5,6,10,21,36,45,28,42,38
WBGene00005487,1,3,1,0,0,1,7,16,6,9,16,10
WBGene00003362,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00020649,531,517,498,580,535,568,2063,2058,2109,1197,1316,1179
WBGene00206487,167,284,203,265,259,244,366,424,369,349,455,415
WBGene00045177,15,14,13,15,19,18,106,75,58,61,66,45
WBGene00020648,30,26,26,7,7,4,5,5,6,2,6,9
WBGene00019298,2050,1600,1587,1452,1364,1234,3877,3306,3088,2964,3532,3227
WBGene00019300,290,235,201,388,346,312,1225,966,996,525,651,595
WBGene00019299,13,16,13,7,6,3,8,7,10,9,16,9
WBGene00198707,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001099,765,628,587,2380,2081,2015,4011,3223,3274,5739,6432,5948
WBGene00001735,24,13,6,21,20,22,3,4,2,2,4,4
WBGene00200120,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023092,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017578,391,390,420,357,371,376,1221,1265,1275,916,926,821
WBGene00000675,24956,17916,16654,27887,29426,25194,126924,98409,70111,71351,82091,69320
WBGene00017577,22,30,20,12,5,10,31,33,37,16,11,12
WBGene00017574,479,425,373,346,352,396,1077,969,870,674,761,663
WBGene00017576,120,128,126,81,78,72,155,122,156,112,141,115
WBGene00197593,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022048,7317,7058,6813,7751,7455,7436,6767,5953,5473,6545,7057,6803
WBGene00220192,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00004981,2806,2705,2297,2407,2132,2252,3656,3352,3021,3202,3275,2979
WBGene00020295,314,315,258,247,230,209,54,57,35,48,52,37
WBGene00004493,29292,33547,24148,29550,28878,26789,19736,17610,13080,24366,28507,22608
WBGene00044789,1310,1171,1249,1364,1361,1341,612,598,477,733,852,708
WBGene00020300,2497,2841,2430,1741,1534,1734,108,119,87,119,162,146
WBGene00001338,820,1088,903,840,814,849,611,633,555,444,486,480
WBGene00020298,1695,1878,1718,1679,1541,1667,631,571,559,493,500,533
WBGene00045249,362,446,302,233,213,230,192,167,137,131,186,141
WBGene00020297,4704,5383,4302,5663,5287,5578,3709,3281,2842,7184,8155,6476
WBGene00020296,1644,2039,1634,1252,1234,1308,201,205,153,304,356,299
WBGene00001666,90,85,98,156,144,148,3,6,7,18,19,21
WBGene00002187,1320,1130,1036,1257,1260,1235,2183,1914,1765,1733,1980,1678
WBGene00219270,0,0,0,2,0,0,0,0,1,0,2,0
WBGene00165558,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00020299,160,155,164,217,236,224,156,172,140,178,180,159
WBGene00001332,1950,2105,1770,2057,1966,2094,248,216,210,243,242,207
WBGene00000913,14556,17040,14789,16321,14983,15592,268,302,303,328,340,324
WBGene00022046,3691,4260,3495,3420,3263,3276,475,435,285,775,791,698
WBGene00022047,684,540,583,395,340,311,2284,1966,1767,1328,1418,1192
WBGene00002041,972,1271,1134,1089,928,1139,3005,3109,3103,2723,2880,2566
WBGene00022045,515,511,421,428,442,377,401,357,295,398,448,359
WBGene00022044,1617,2049,1639,1606,1543,1665,1199,1094,1000,1066,1204,978
WBGene00235263,1,4,1,6,6,5,1,0,0,7,12,8
WBGene00235264,1,2,0,0,0,1,0,0,0,0,0,0
WBGene00019772,93,64,37,121,130,90,299,208,210,207,203,257
WBGene00019773,2,3,0,3,5,2,4,5,5,9,10,10
WBGene00019774,129,124,89,116,113,97,288,246,185,236,251,257
WBGene00220031,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00235265,0,1,0,2,1,0,0,1,0,0,0,0
WBGene00021011,17,18,14,24,27,11,10,12,12,15,21,16
WBGene00021012,2178,2380,2080,2099,1984,2009,60,45,48,48,35,40
WBGene00000213,376,286,271,75,101,77,2350,2150,1391,262,307,253
WBGene00201763,0,0,0,0,0,0,0,0,0,1,0,1
WBGene00021010,5,12,8,6,7,4,14,27,13,8,7,6
WBGene00021013,0,0,0,2,4,2,0,1,1,2,4,6
WBGene00001625,6,12,9,15,20,13,27,11,22,17,34,16
WBGene00017276,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199193,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018924,17,17,7,8,6,7,21,11,18,14,15,14
WBGene00200779,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00201760,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198589,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195964,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001165,365,401,358,424,370,359,174,188,179,251,259,234
WBGene00197598,0,1,0,0,0,0,0,0,0,0,1,0
WBGene00197815,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018927,0,0,0,0,0,0,0,1,0,0,1,1
WBGene00219978,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018925,1348,1296,1077,1332,1293,1193,2371,1901,1756,1673,1886,1746
WBGene00001579,1219,1202,1122,1439,1303,1307,968,899,806,846,872,758
WBGene00018926,6,5,3,17,16,17,60,65,37,63,63,46
WBGene00189987,0,1,1,1,2,1,2,0,0,1,1,4
WBGene00015995,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015996,3,6,3,7,10,8,5,7,4,5,17,13
WBGene00015994,1,2,0,10,6,9,0,0,0,3,1,6
WBGene00199836,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015997,1,1,2,9,4,1,0,2,0,5,5,1
WBGene00044457,521,406,374,654,539,633,1430,1268,1303,1698,1722,1367
WBGene00015998,3,3,1,7,1,3,1,6,1,1,3,3
WBGene00015999,0,4,4,0,2,0,0,0,0,1,1,0
WBGene00000676,2,0,0,0,0,0,5,1,6,4,4,2
WBGene00199072,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00002140,33,41,45,26,13,22,29,38,31,67,81,84
WBGene00015993,53,75,58,6,0,3,1,4,2,3,2,11
WBGene00022911,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200850,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200054,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194995,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015497,638,754,649,721,708,707,2842,2611,2415,1711,1841,1560
WBGene00019665,62,68,68,79,67,75,46,38,31,54,37,49
WBGene00196668,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019658,413,512,366,297,274,282,133,177,102,213,246,183
WBGene00004427,28758,24997,22124,22859,21583,20379,26535,20372,16318,30608,35695,27924
WBGene00044948,1,0,0,0,2,1,0,2,0,0,0,1
WBGene00045051,1,1,1,0,0,0,1,0,1,0,0,0
WBGene00019664,2183,2067,1983,2501,2224,2308,2233,1810,1595,1658,1841,1627
WBGene00023106,1,0,1,0,0,1,2,3,0,5,5,3
WBGene00019663,659,558,538,646,582,617,1126,950,783,1265,1412,1278
WBGene00019662,29,27,21,18,28,25,10,4,4,15,13,6
WBGene00044723,75,63,80,87,84,84,907,800,684,467,499,418
WBGene00019659,48,36,37,40,27,26,204,189,174,265,328,255
WBGene00019660,277,202,248,255,255,237,2128,1746,1575,1621,1879,1538
WBGene00044458,1,4,0,5,3,2,9,16,14,15,13,18
WBGene00019661,30,66,38,56,47,46,33,38,38,31,30,26
WBGene00195864,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023038,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018256,59,104,76,26,15,25,3,1,2,9,24,21
WBGene00235287,2,8,7,1,4,0,0,0,0,2,2,1
WBGene00021950,93,128,109,134,114,147,281,272,254,203,208,209
WBGene00021949,1,0,0,2,0,1,0,0,1,2,5,2
WBGene00044460,2,4,5,2,9,6,0,2,1,3,2,3
WBGene00044459,74,71,68,82,74,94,50,31,35,56,53,40
WBGene00021951,0,2,0,0,0,0,0,0,0,1,0,0
WBGene00168241,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00219763,0,2,5,5,1,2,6,3,0,4,7,3
WBGene00197624,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021948,408,416,462,240,251,253,408,362,282,451,600,531
WBGene00196878,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194844,0,2,2,2,0,0,0,0,0,0,0,0
WBGene00021947,1,2,3,2,2,4,0,0,0,0,0,0
WBGene00001788,34,41,25,21,17,13,29,18,14,35,49,42
WBGene00000677,2859,2543,2306,5405,6025,5080,16002,13501,11068,19900,23694,20315
WBGene00018928,262,251,225,262,222,214,309,289,250,281,267,268
WBGene00018929,1,10,6,3,3,3,0,0,0,0,0,0
WBGene00018933,0,0,1,1,1,1,0,0,0,0,0,0
WBGene00018932,661,588,672,500,533,546,403,401,327,382,442,353
WBGene00018931,96,82,68,88,101,89,403,367,250,194,166,160
WBGene00199691,0,1,0,0,0,0,0,2,1,1,0,0
WBGene00004824,827,1019,866,1049,939,943,229,203,178,192,234,214
WBGene00197041,0,1,1,1,0,0,3,0,0,0,3,0
WBGene00200616,1,0,1,0,1,0,0,0,0,0,1,1
WBGene00018930,13,22,8,57,39,48,3,5,0,23,17,16
WBGene00018935,1548,1673,1390,1545,1494,1469,605,526,425,411,471,395
WBGene00018934,2012,2471,1857,2131,1999,2017,590,521,430,618,704,596
WBGene00001154,1247,1240,1088,1272,1164,1224,1326,1101,952,878,996,891
WBGene00220182,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021935,1231,1352,1233,1108,1064,1104,516,466,422,466,489,433
WBGene00185088,195,288,252,204,200,209,110,120,90,103,116,110
WBGene00235283,4,1,1,0,0,1,0,0,0,0,1,0
WBGene00021936,1898,1708,1965,1765,1626,1701,1186,934,883,743,822,814
WBGene00220183,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199601,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202216,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021942,204,191,180,238,182,215,107,101,77,135,149,135
WBGene00044742,166,223,197,167,150,169,34,21,18,39,48,56
WBGene00021943,1062,742,860,779,741,811,1400,1223,1109,834,853,788
WBGene00021944,8,1,2,0,0,1,1,0,0,0,0,1
WBGene00201199,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023184,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021941,36,35,40,45,61,46,93,74,72,97,111,79
WBGene00021945,1550,1622,1387,1707,1618,1537,280,240,258,245,290,309
WBGene00044757,154,130,129,236,210,268,270,209,259,263,299,231
WBGene00021939,360,427,356,705,694,665,374,343,318,356,396,373
WBGene00195533,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023183,0,2,0,1,0,0,0,0,0,0,0,0
WBGene00201671,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00021938,1893,1833,1688,1630,1545,1433,742,567,564,592,643,527
WBGene00196995,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196058,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007007,682,741,623,1058,1027,936,1008,766,772,1298,1439,1140
WBGene00016649,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00045301,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016648,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045300,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016647,0,2,0,0,1,0,0,0,2,0,0,1
WBGene00045299,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016646,0,2,0,0,0,0,1,0,0,0,2,0
WBGene00045298,3,5,2,10,5,8,2,1,6,1,2,2
WBGene00019073,1,0,0,0,1,0,1,0,2,0,2,2
WBGene00019072,15,21,9,32,14,24,22,26,18,10,13,16
WBGene00019070,13,9,20,49,46,44,12,11,5,38,52,62
WBGene00019069,47,59,58,46,36,31,64,53,54,55,73,85
WBGene00196404,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199590,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019067,14,13,5,7,6,6,5,11,13,9,19,38
WBGene00019068,798,709,607,685,665,632,2933,2685,2316,2271,2609,2164
WBGene00004047,1545,1452,1415,1915,1629,1706,1281,1121,1084,1016,1119,1061
WBGene00043705,261,287,268,262,227,272,41,26,28,35,43,41
WBGene00220181,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00021924,804,763,706,889,940,888,445,377,396,470,549,441
WBGene00021923,390,370,333,326,317,302,271,248,191,201,246,233
WBGene00021925,410,475,358,305,366,377,319,293,250,184,203,183
WBGene00021926,1635,1436,1369,1721,1573,1673,1157,956,885,678,666,617
WBGene00021922,1512,1405,1258,1823,1872,1764,997,827,758,574,587,620
WBGene00021921,2412,2076,1954,2339,2274,2194,458,405,362,502,489,452
WBGene00194825,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194822,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194823,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194824,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194826,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021927,173,138,184,249,241,243,350,296,242,379,448,374
WBGene00219762,0,0,0,3,1,0,0,0,0,5,6,2
WBGene00021928,364,445,374,521,514,529,86,79,74,152,155,141
WBGene00005903,9,5,6,9,15,16,1,1,2,2,3,8
WBGene00219399,98,81,84,127,127,146,0,2,3,3,1,6
WBGene00021929,2126,1751,1945,1757,1662,1800,370,306,298,390,377,341
